dns1.village.tin.it 195.14.96.135
dnsca2.tin.it 212.216.172.222 	 
dnscache2.tin.it 212.216.172.162 	 
dns2.tin.it 194.243.154.51 	 
dnscache1.tin.it 212.216.172.62 	 
dns1.fullcompany.telecomitalia.it 212.131.30.42 	 
dnsca.tin.it 212.216.112.112 	 
dnsca.tin.it 195.31.190.31 	 
dns.tin.it 194.243.154.62 	 
dns.tin.it 85.37.17.9 	 
dns.tin.it 85.38.28.75 	 
r-dns.interbusiness.it 151.99.125.1
dns2.interbusiness.it 151.99.125.3 	 
dns.interbusiness.it 151.99.125.2 	 
server-b.cs.interbusiness.it 151.99.250.2 	 
ns2.libero.it 193.70.192.100
ns1.libero.it 195.210.91.100 	 
cns-a.libero.it 193.70.192.25 	 
cns-b.libero.it 193.70.152.25 	 
dns.wind.it 212.245.255.2
dns2.wind.it 212.245.158.66 	 
dns.inwind.it 212.141.53.123 	 
dns2.wind.it 212.245.158.66 	 
ns1.atlanet.it 213.234.128.211 	 
ns2.atlanet.it 213.234.132.130 	 
ns1.its.it 151.92.2.35 	 
ns.telexis.it 213.199.1.132 	 
dns.mclink.it 195.110.128.1 	 
dns.flashnet.it 194.247.160.1 	 
dns2.flashnet.it 194.247.160.8 	 
ns2.albacom.net 212.17.192.209 	 
urano.inet.it 194.20.8.1 	 
venere.inet.it 194.20.8.4 	 
elitel.it 212.34.224.193 	 
ns.elitel.it 212.34.224.132 	 
ns2.elitel.it 217.146.65.7 	 
ns3.elitel.it 217.146.65.80 	 
dns1.edisontel.it 62.94.0.1 	 
dns2.edisontel.it 62.94.0.2 	 
dns.nic.it 193.205.245.5 	 
dns2.nic.it 193.205.245.8 	 
nameserver.cnr.it 194.119.192.34 	 
dns.nettuno.it 192.43.2.1
csserver.csinfo.net. 212.48.160.5
ns.dns1-csinfo.it. 212.48.160.6

